node,sample,,index_sampled,rt_sampled,index,subj_idx,study,phase,trial,offer,fair_cat,rev_con,response,rt,rev_cat,rev_centered,fair_con
wfpt.1,1,34,108,-1.6887396369342564,108,1,Victim,group,143,1.1,unfair,1.0,1,2.03298247500015,One,-1.0,1
wfpt.1,1,35,111,-1.1109396369342566,111,1,Victim,group,146,0.5,unfair,1.0,1,3.2098315409998595,One,-1.0,1
wfpt.1,1,36,115,2.7565229718900675,115,1,Victim,group,150,0.5,unfair,0.0,0,-1.29828133000001,Zero,-3.0,1
wfpt.1,1,37,116,1.2959609087781336,116,1,Victim,group,151,0.699999999999999,unfair,3.0,1,0.8977511409998441,Three,1.0,1
wfpt.1,1,38,120,-0.7591584205912618,120,1,Victim,group,155,1.3,unfair,2.0,1,1.5804843000000801,Two,0.0,1
wfpt.1,1,39,121,3.404320552305575,121,1,Victim,group,156,1.2,unfair,2.0,1,1.08319998800016,Two,0.0,1
wfpt.1,1,40,123,1.7439609087781336,123,1,Victim,group,158,0.800000000000001,unfair,3.0,1,1.36377985100034,Three,1.0,1
wfpt.1,1,41,126,1.2537609087781338,126,1,Victim,group,161,0.800000000000001,unfair,3.0,1,1.1480066210001498,Three,1.0,1
wfpt.1,1,42,130,1.4761205523055745,130,1,Victim,group,165,0.699999999999999,unfair,2.0,1,1.7313139620000602,Two,0.0,1
wfpt.1,1,43,131,-0.5455584205912618,131,1,Victim,group,166,0.19999999999999898,unfair,2.0,1,1.35846848700021,Two,0.0,1
wfpt.1,1,44,137,1.4549205523055746,137,1,Victim,group,173,0.5,unfair,2.0,1,1.3669111790000001,Two,0.0,1
wfpt.1,1,45,141,4.705720552305574,141,1,Victim,group,177,0.9,unfair,2.0,1,1.05592788199965,Two,0.0,1
wfpt.1,1,46,142,0.9383229718900671,142,1,Victim,group,178,0.0999999999999996,unfair,0.0,0,-3.53024625599983,Zero,-3.0,1
wfpt.1,1,47,143,-3.648478208634028,143,1,Victim,group,179,0.5,unfair,0.0,0,-0.9611218029999691,Zero,-3.0,1
wfpt.1,1,48,144,0.8799844888477757,144,1,Victim,group,180,0.5,unfair,4.0,1,1.02328207599976,Four,3.0,1
wfpt.1,1,49,145,1.0465609087781336,145,1,Victim,group,181,0.800000000000001,unfair,3.0,1,2.7935966099999,Three,1.0,1
